"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.316732500E-1,-2.399668068E-2,-3.121886909E-2,-1.310898972E-1,1.368759278E-1
6.417202500E-1,-1.055238238E-1,-1.315196675E-1,-1.054112649E-1,1.988573235E-1
6.517662500E-1,8.738663793E-3,-1.047324032E-1,1.027332401E-1,1.469672043E-1
6.618132500E-1,1.384456944E-1,-1.173419237E-1,1.860513854E-1,2.599066282E-1
6.718592500E-1,2.901993594E-1,-1.610826051E-1,1.378872854E-1,3.594108753E-1
6.819062500E-1,2.825707895E-1,-1.183014518E-1,2.854142904E-2,3.076623112E-1
6.919522500E-1,3.042569429E-1,-4.653214216E-2,-1.309483945E-1,3.344921667E-1
7.019992500E-1,3.584851903E-1,1.117870688E-1,-2.968701553E-1,4.786855644E-1
7.120452500E-1,3.079111968E-1,1.698557675E-1,-3.397004253E-1,4.889342142E-1
7.220922500E-1,2.166030872E-1,8.884551823E-2,-1.606896722E-1,2.839570289E-1
7.321382500E-1,9.817036539E-2,1.244287491E-3,3.054526985E-2,1.028201459E-1
7.421852500E-1,6.797183543E-2,1.185990751E-2,1.794101179E-2,7.129311132E-2
7.522312500E-1,-5.236912519E-2,1.242732131E-1,-7.614010334E-2,1.548666269E-1
7.622782500E-1,-7.660466462E-2,1.448624289E-1,-8.259659886E-2,1.835091172E-1
7.723242500E-1,-1.376826328E-1,1.924172491E-1,-7.981858671E-2,2.497036482E-1
7.823712500E-1,-1.821167574E-1,1.156269354E-1,1.375557482E-2,2.161603973E-1
7.924172500E-1,-2.026270723E-1,2.863615394E-2,6.082507610E-2,2.134887576E-1
8.024642500E-1,-2.271055636E-1,-3.123933434E-2,1.328171647E-1,2.649400541E-1
8.125102500E-1,-9.082655489E-2,1.262238443E-2,8.234399915E-2,1.232449669E-1
8.225572500E-1,-5.841777742E-2,8.699370503E-2,6.403812110E-2,1.228064428E-1
8.326032500E-1,-1.120928782E-1,3.495062059E-1,3.586857498E-1,5.132006122E-1
8.426502500E-1,-1.923417835E-1,-2.108096659E-2,-1.060708308E-1,2.206598966E-1
8.526962500E-1,-1.863837996E-1,-3.342052120E-1,-1.514674437E-1,4.115512495E-1
8.627432500E-1,-2.328960247E-1,-4.490252316E-2,2.087292266E-1,3.159504470E-1
8.727892500E-1,-1.559882185E-1,2.909574509E-3,3.076255238E-1,3.449264455E-1
8.828362500E-1,-1.745110282E-1,-5.157127261E-2,2.187314737E-1,2.845297044E-1
8.928822500E-1,-1.290006870E-1,-5.406101704E-2,2.209042990E-1,2.614621964E-1
9.029292500E-1,-9.151886523E-2,-1.789271379E-1,2.737818396E-1,3.396279127E-1
9.129752500E-1,3.819956750E-2,-1.893310887E-1,3.184463811E-1,3.724427013E-1
9.230222500E-1,5.561491460E-2,-1.144007742E-1,2.233542824E-1,2.570363619E-1
9.330682500E-1,5.718021423E-2,-7.356966734E-3,3.709473610E-2,6.855451338E-2
9.431152500E-1,5.611923695E-2,1.746604246E-1,-1.271903890E-1,2.232331242E-1
9.531612500E-1,-6.489327639E-2,2.210879016E-1,-7.953967452E-2,2.437571689E-1
9.632082500E-1,-2.049402308E-1,1.208824128E-1,1.153170329E-1,2.644070234E-1
9.732542500E-1,-1.961977664E-1,7.600971043E-2,1.383012682E-1,2.517901515E-1
9.833012500E-1,-2.319903275E-1,-3.830218613E-2,3.035640478E-1,3.839761720E-1
9.933472500E-1,-2.294710547E-1,-8.574824810E-2,2.023440671E-1,3.177307799E-1
1.003394250E0,-1.421984375E-1,3.040084362E-2,6.965671062E-2,1.612348109E-1
1.013440250E0,-2.703705740E-1,-5.127891183E-2,-1.197252488E-1,3.001064966E-1
1.023487250E0,-1.502859772E-1,2.380956978E-1,-7.667746246E-2,2.918130729E-1
1.033533250E0,-1.434517881E-1,2.102442402E-1,-7.428185821E-2,2.651393039E-1
1.043580250E0,2.618207753E-2,4.463296652E-2,-1.370879710E-1,1.465288868E-1
1.053626250E0,3.104272537E-1,2.654583281E-1,-1.066742635E-1,4.221523449E-1
1.063673250E0,3.209820627E-1,2.623394233E-1,3.043475747E-3,4.145608765E-1
1.073719250E0,7.090304464E-2,4.549601555E-2,6.975494385E-2,1.093749577E-1
1.083766250E0,2.331314117E-2,-6.849896193E-2,8.321289539E-2,1.102723732E-1
1.093812250E0,2.880893916E-2,-1.070970172E-1,2.400761497E-1,2.644546912E-1
1.103859250E0,-2.808604789E-1,-2.127877790E-1,2.641304255E-1,4.403704453E-1
1.113905250E0,-6.617568773E-1,-4.652360523E-1,-5.100175381E-2,8.105355809E-1
1.123952250E0,6.142149210E-1,7.438453531E-1,1.794299984E-1,9.812038539E-1
1.133998250E0,-2.327589440E-1,4.460519224E-1,-2.485125124E-2,5.037426210E-1
1.144045250E0,-1.434690374E-1,1.497968942E-1,-2.157470548E-1,2.992812488E-1
1.154091250E0,1.435728255E-1,4.058482218E-1,-1.843124235E-1,4.682915809E-1
1.164137000E0,1.369078767E-1,2.905528235E-1,-1.952192348E-1,3.758660129E-1
1.174183000E0,2.351218039E-1,2.123293573E-1,-2.462917399E-1,4.012800017E-1
1.184230000E0,1.780260819E-1,1.005171454E-1,-1.244100380E-1,2.393216244E-1
1.194276000E0,3.742919683E-2,-3.582004309E-3,-2.812276840E-2,4.695386707E-2
1.204323000E0,-1.168966582E-1,-3.720875680E-2,5.964043021E-2,1.364049164E-1
1.214369000E0,-1.960998255E-1,-9.036287069E-3,1.189557552E-1,2.295370727E-1
1.224416000E0,-1.426802480E-1,6.428955138E-2,-2.588913202E-2,1.586223400E-1
1.234462000E0,-3.435239196E-2,1.625888479E-1,-2.090098929E-1,2.670212644E-1
1.244509000E0,5.731148422E-3,1.556207210E-1,-2.071148103E-1,2.591277668E-1
1.254555000E0,-3.850391507E-3,1.412845176E-1,-1.243550742E-1,1.882560090E-1
1.264602000E0,1.222886682E-2,3.031430483E-2,-1.278142869E-2,3.509796547E-2
1.274648000E0,-6.497221380E-2,-5.265593112E-2,1.691593641E-1,1.887032753E-1
1.284695000E0,-4.117810261E-2,-4.043174207E-2,1.725343770E-1,1.819298577E-1
1.294741000E0,-4.029053181E-2,-4.955807626E-2,1.040523720E-1,1.220910561E-1
1.304788000E0,-3.472252071E-2,3.760402858E-2,3.520783961E-2,6.212333201E-2
1.314834000E0,8.230833113E-3,1.466201019E-1,-8.820641756E-2,1.713054961E-1
1.324881000E0,1.138186839E-1,2.016429859E-1,-1.915892833E-1,3.005345905E-1
1.334927000E0,9.028217912E-2,2.628229880E-1,-1.201579428E-1,3.027618307E-1
1.344974000E0,3.984058857E-2,2.169743854E-1,-1.869588733E-2,2.213926210E-1
1.355020000E0,-1.328048855E-2,1.661807925E-1,4.691630423E-2,1.731865086E-1
1.365067000E0,-1.572400343E-2,1.653586739E-1,9.623289049E-2,1.919674570E-1
1.375113000E0,-1.454231769E-2,1.791586876E-1,7.503731847E-2,1.947817073E-1
1.385160000E0,-2.681737751E-2,1.445016557E-1,4.261918545E-2,1.530238387E-1
1.395206000E0,-1.825208366E-2,6.822238863E-2,7.446429133E-2,1.026273041E-1
1.405253000E0,-6.650915444E-3,2.870398164E-3,6.385978103E-2,6.426932001E-2
1.415299000E0,4.464583039E-2,-1.058521450E-2,1.864969432E-2,4.952886063E-2
1.425345000E0,7.502591640E-2,-2.323332667E-2,-1.919640899E-2,8.085281515E-2
1.435392000E0,2.365286440E-2,4.977383852E-2,-7.135941982E-3,5.556810833E-2
1.445438000E0,1.487096775E-2,3.826125562E-2,-4.366408288E-2,5.993013848E-2
1.455485000E0,3.802188523E-3,4.608132184E-2,-3.287830889E-2,5.673559778E-2
1.465532000E0,-4.247267615E-2,4.412893653E-3,3.103643596E-2,5.278884548E-2
1.475578000E0,-3.411674917E-2,-2.436300874E-2,8.963313818E-2,9.895255544E-2
1.485625000E0,-3.270577949E-2,-2.203581691E-2,1.042008913E-1,1.114139622E-1
1.495671000E0,-2.152272373E-2,1.760596633E-2,7.463386059E-2,7.964553241E-2
